"Country","ISO2","Income","ODB-Rank","ODB","ODB-Scaled","Change","Impact_Economic-Scaled","Impact_Political-Scaled","Impact_Social-Scaled","d1","d2","d4","d5","d6","d7","d8","d9","d10","d11","d12","d13","d14","d15","d16"
"Canada","CA","High income",7,0.512645876689129,74.52,1,39,50,60,"0","1","1","1","0","0","0","1","1","0","0","1","1","1","1"
"Germany","DE","High income",10,0.425834104639644,67.63,-1,46,65,26,"1","0","1","1","0","0","0","1","0","1","0","0","0","0","0"
"France","FR","High income",4,0.58447568485638,80.21,6,79,74,60,"0","0","1","1","0","0","1","1","1","1","1","1","1","1","1"
"UK","GB","High income",1,0.833996858010056,100,0,80,98,77,"1","1","1","1","1","1","1","1","1","1","1","1","0","1","1"
"Italy","IT","High income",22,0.210763994753847,50.58,-2,39,43,9,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Japan","JP","High income",19,0.248630881845325,53.58,-5,20,17,43,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"US","US","High income",2,0.741441722343741,92.66,0,100,98,54,"1","0","1","1","1","0","1","1","1","1","1","1","1","1","1"
